E-RP-09, 31, 0.94, 31, 7.35
E-LA-01, 114, 3.47, 9, 2.13
E-SxA-07, 1, 0.03, 1, 0.24
E-ST-01, 4, 0.12, 4, 0.95
E-SxA-03, 1, 0.03, 1, 0.24
E-SmA-02, 144, 4.38, 63, 14.93
E-RP-05, 2427, 73.77, 404, 95.73
E-RP-07, 311, 9.45, 311, 73.70
E-SxA-01, 8, 0.24, 8, 1.90
W-01, 249, 7.57, 116, 27.49
