E-RP-07, 1, 25.00W-01, 3, 75.00E-LA-04, 1, 4.76
E-ST-01, 1, 4.76
L-SxA-09, 1, 4.76
E-ST-03, 5, 23.81
E-SxA-03, 4, 19.05
E-RP-06, 2, 9.52
E-RP-07, 1, 4.76
W-01, 6, 28.57
E-LA-04, 1, 4.76
E-ST-01, 1, 4.76
L-SxA-09, 1, 4.76
E-ST-03, 5, 23.81
E-SxA-03, 4, 19.05
E-RP-06, 2, 9.52
E-RP-07, 1, 4.76
W-01, 6, 28.57
E-LA-04, 1, 4.76
E-ST-01, 1, 4.76
L-SxA-09, 1, 4.76
E-ST-03, 5, 23.81
E-SxA-03, 4, 19.05
E-RP-06, 2, 9.52
E-RP-07, 1, 4.76
W-01, 6, 28.57
E-LA-04, 1, 4.76
E-ST-01, 1, 4.76
L-SxA-09, 1, 4.76
E-ST-03, 5, 23.81
E-SxA-03, 4, 19.05
E-RP-06, 2, 9.52
E-RP-07, 1, 4.76
W-01, 6, 28.57
E-LA-04, 1, 4.76
E-ST-01, 1, 4.76
L-SxA-09, 1, 4.76
E-ST-03, 5, 23.81
E-SxA-03, 4, 19.05
E-RP-06, 2, 9.52
E-RP-07, 1, 4.76
W-01, 6, 28.57
E-LA-04, 1, 4.76
E-ST-01, 1, 4.76
L-SxA-09, 1, 4.76
E-ST-03, 5, 23.81
E-SxA-03, 4, 19.05
E-RP-06, 2, 9.52
E-RP-07, 1, 4.76
W-01, 6, 28.57
E-ST-03, 1, 33.33
E-RP-06, 1, 33.33
W-01, 1, 33.33
E-LA-04, 1, 4.76
E-ST-01, 1, 4.76
L-SxA-09, 1, 4.76
E-ST-03, 5, 23.81
E-SxA-03, 4, 19.05
E-RP-06, 2, 9.52
E-RP-07, 1, 4.76
W-01, 6, 28.57
E-SxA-07, 1, 0.83
E-ST-01, 12, 9.92
E-SmA-01, 2, 1.65
E-ST-03, 1, 0.83
E-RP-07, 101, 83.47
W-01, 4, 3.31
E-SxA-07, 3, 0.55
E-ST-01, 24, 4.42
E-SmA-01, 226, 41.62
E-ST-03, 5, 0.92
E-SxA-03, 5, 0.92
E-SmA-02, 4, 0.74
E-RP-07, 121, 22.28
E-SxA-01, 2, 0.37
W-01, 148, 27.26
E-RP-08, 5, 0.92
E-SxA-07, 3, 0.91
E-ST-01, 24, 7.32
E-SmA-01, 10, 3.05
E-ST-03, 5, 1.52
E-SxA-03, 5, 1.52
E-SmA-02, 4, 1.22
E-RP-07, 122, 37.20
E-SxA-01, 2, 0.61
W-01, 148, 45.12
E-RP-08, 5, 1.52
E-SxA-07, 3, 0.93
E-ST-01, 24, 7.43
E-ST-03, 5, 1.55
E-SxA-03, 5, 1.55
E-SmA-02, 4, 1.24
E-RP-07, 127, 39.32
E-SxA-01, 2, 0.62
W-01, 148, 45.82
E-RP-08, 5, 1.55
E-SxA-07, 1, 0.83
E-ST-01, 12, 9.92
E-SmA-01, 2, 1.65
E-ST-03, 1, 0.83
E-RP-07, 101, 83.47
W-01, 4, 3.31
E-SxA-07, 3, 0.93
E-ST-01, 24, 7.43
E-SmA-01, 5, 1.55
E-ST-03, 5, 1.55
E-SxA-03, 5, 1.55
E-SmA-02, 4, 1.24
E-RP-07, 127, 39.32
E-SxA-01, 2, 0.62
W-01, 148, 45.82
E-SxA-07, 1, 0.83
E-ST-01, 12, 9.92
E-SmA-01, 2, 1.65
E-ST-03, 1, 0.83
E-RP-07, 101, 83.47
W-01, 4, 3.31
E-SxA-07, 3, 0.93
E-ST-01, 24, 7.43
E-SmA-01, 5, 1.55
E-ST-03, 5, 1.55
E-SxA-03, 5, 1.55
E-SmA-02, 4, 1.24
E-RP-07, 127, 39.32
E-SxA-01, 2, 0.62
W-01, 148, 45.82
E-SxA-07, 1, 0.39
E-ST-01, 12, 4.72
E-SmA-01, 2, 0.79
E-ST-03, 1, 0.39
E-RP-05, 133, 52.36
E-RP-07, 101, 39.76
W-01, 4, 1.57
E-SxA-07, 3, 0.19
E-ST-01, 24, 1.49
E-SmA-01, 5, 0.31
E-ST-03, 5, 0.31
E-SxA-03, 5, 0.31
E-SmA-02, 4, 0.25
E-RP-05, 1283, 79.89
E-RP-07, 127, 7.91
E-SxA-01, 2, 0.12
W-01, 148, 9.22
E-ST-01, 25, 2.29
E-ST-03, 14, 1.28
E-SxA-03, 53, 4.86
E-SmA-02, 45, 4.12
E-RP-05, 727, 66.64
E-RP-07, 212, 19.43
W-01, 15, 1.37
