student31_1.c, E-RP-05, dlho aktívna premenná, 21
student31_1.c, E-RP-05, dlho aktívna premenná, 38
student31_1.c, E-RP-05, dlho aktívna premenná, 23
student31_1.c, E-RP-05, dlho aktívna premenná, 39
student31_1.c, E-RP-05, dlho aktívna premenná, 10
student31_1.c, E-RP-05, dlho aktívna premenná, 11
student31_2.c, E-RP-05, dlho aktívna premenná, 5
student31_3.c, E-RP-05, dlho aktívna premenná, 5
student31_4.c, E-RP-05, dlho aktívna premenná, 5
student32_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student32_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student34_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student34_1.c, E-RP-05, dlho aktívna premenná, 9
student34_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student34_2.c, E-RP-05, dlho aktívna premenná, 9
student34_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student34_3.c, E-RP-05, dlho aktívna premenná, 9
student34_4.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student34_4.c, E-RP-05, dlho aktívna premenná, 9
student34_5.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student34_5.c, E-RP-05, dlho aktívna premenná, 12
student34_6.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student34_6.c, E-RP-05, dlho aktívna premenná, 12
student36_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student36_1.c, E-RP-05, dlho aktívna premenná, 5
student36_1.c, E-RP-05, dlho aktívna premenná, 6
student36_1.c, E-RP-05, dlho aktívna premenná, 7
student36_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student36_2.c, E-RP-05, dlho aktívna premenná, 5
student36_2.c, E-RP-05, dlho aktívna premenná, 6
student36_2.c, E-RP-05, dlho aktívna premenná, 7
student36_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student36_3.c, E-RP-05, dlho aktívna premenná, 5
student36_3.c, E-RP-05, dlho aktívna premenná, 6
student36_3.c, E-RP-05, dlho aktívna premenná, 7
student37_1.c, E-RP-05, dlho aktívna premenná, 16
student37_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student38_1.c, E-RP-05, dlho aktívna premenná, 3
student38_2.c, E-RP-05, dlho aktívna premenná, 3
student38_3.c, E-RP-05, dlho aktívna premenná, 3
student39_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student3_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student3_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student40_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student40_1.c, E-RP-05, dlho aktívna premenná, 5
student40_1.c, E-RP-05, dlho aktívna premenná, 6
student40_1.c, E-RP-05, dlho aktívna premenná, 8
student40_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student40_2.c, E-RP-05, dlho aktívna premenná, 5
student40_2.c, E-RP-05, dlho aktívna premenná, 6
student40_2.c, E-RP-05, dlho aktívna premenná, 8
student41_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student41_1.c, E-RP-05, dlho aktívna premenná, 6
student41_1.c, E-RP-05, dlho aktívna premenná, 7
student41_1.c, E-RP-05, dlho aktívna premenná, 8
student41_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student41_2.c, E-RP-05, dlho aktívna premenná, 6
student41_2.c, E-RP-05, dlho aktívna premenná, 8
student42_1.c, E-RP-05, dlho aktívna premenná, 5
student42_1.c, E-RP-05, dlho aktívna premenná, 7
student42_2.c, E-RP-05, dlho aktívna premenná, 5
student42_2.c, E-RP-05, dlho aktívna premenná, 7
student44_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student45_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student48_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student48_1.c, E-RP-05, dlho aktívna premenná, 12
student49_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student49_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student49_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 0
student50_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student50_1.c, E-RP-05, dlho aktívna premenná, 4
student50_1.c, E-RP-05, dlho aktívna premenná, 5
student50_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student50_2.c, E-RP-05, dlho aktívna premenná, 4
student50_2.c, E-RP-05, dlho aktívna premenná, 5
student50_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student50_3.c, E-RP-05, dlho aktívna premenná, 4
student50_3.c, E-RP-05, dlho aktívna premenná, 5
student50_4.c, E-RP-07, neoptimálne využívanie premenných, 0
student50_4.c, E-RP-05, dlho aktívna premenná, 4
student50_4.c, E-RP-05, dlho aktívna premenná, 5
student50_5.c, E-RP-07, neoptimálne využívanie premenných, 0
student50_5.c, E-RP-05, dlho aktívna premenná, 4
student50_5.c, E-RP-05, dlho aktívna premenná, 5
student51_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student51_1.c, E-RP-05, dlho aktívna premenná, 36
student51_1.c, E-RP-05, dlho aktívna premenná, 7
student51_2.c, E-RP-05, dlho aktívna premenná, 32
student51_2.c, E-ST-01, neinicializovaná premenná, 33
student51_2.c, E-ST-01, neinicializovaná premenná, 39
student51_2.c, E-ST-01, neinicializovaná premenná, 40
student51_2.c, E-ST-01, neinicializovaná premenná, 10
student51_2.c, E-ST-01, neinicializovaná premenná, 18
student51_2.c, E-ST-01, neinicializovaná premenná, 19
student51_2.c, E-ST-01, neinicializovaná premenná, 23
student51_2.c, E-ST-01, neinicializovaná premenná, 24
student51_2.c, E-ST-01, neinicializovaná premenná, 25
student51_2.c, E-ST-01, neinicializovaná premenná, 26
student51_2.c, E-ST-01, neinicializovaná premenná, 27
student51_2.c, E-ST-01, neinicializovaná premenná, 28
student51_3.c, E-RP-05, dlho aktívna premenná, 32
student51_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student51_4.c, E-RP-07, neoptimálne využívanie premenných, 0
student51_4.c, E-RP-05, dlho aktívna premenná, 33
student52_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student52_1.c, E-RP-05, dlho aktívna premenná, 17
student52_1.c, E-RP-05, dlho aktívna premenná, 6
student52_1.c, E-RP-05, dlho aktívna premenná, 25
student52_2.c, E-RP-05, dlho aktívna premenná, 16
student52_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student52_2.c, E-RP-05, dlho aktívna premenná, 6
student52_2.c, E-RP-05, dlho aktívna premenná, 24
