Názov súboru, Kód chyby, Chybová správa, Počet výskytov
student55_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student55_2.c, E-RP-05, dlho aktívna premenná, 2
student55_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student56_1.c, E-RP-05, dlho aktívna premenná, 1
student56_2.c, E-RP-05, dlho aktívna premenná, 1
student56_3.c, E-RP-05, dlho aktívna premenná, 1
student56_4.c, E-RP-05, dlho aktívna premenná, 1
student56_5.c, E-RP-05, dlho aktívna premenná, 1
student56_6.c, E-RP-05, dlho aktívna premenná, 1
student56_7.c, E-RP-05, dlho aktívna premenná, 1
student57_1.c, E-ST-03, nedeklarovaná premenná, 1
student58_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student59_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student5_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student6_1.c, E-RP-05, dlho aktívna premenná, 3
student6_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student6_2.c, E-RP-05, dlho aktívna premenná, 4
student6_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student7_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student8_1.c, W-01, využívanie globálnej premennej, 3
student9_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student9_2.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student9_3.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
