student12_6.c, E-RP-05, dlho aktívna premenná, 40
student12_6.c, E-RP-05, dlho aktívna premenná, 41
student12_6.c, E-RP-05, dlho aktívna premenná, 63
student13_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student13_1.c, E-RP-05, dlho aktívna premenná, 37
student13_1.c, E-RP-05, dlho aktívna premenná, 94
student13_1.c, E-RP-05, dlho aktívna premenná, 15
student13_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student13_2.c, E-RP-05, dlho aktívna premenná, 37
student13_2.c, E-RP-05, dlho aktívna premenná, 94
student13_2.c, E-RP-05, dlho aktívna premenná, 15
student13_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student13_3.c, E-RP-05, dlho aktívna premenná, 37
student13_3.c, E-RP-05, dlho aktívna premenná, 15
student13_3.c, E-RP-05, dlho aktívna premenná, 95
student13_4.c, E-RP-07, neoptimálne využívanie premenných, 0
student13_4.c, E-RP-05, dlho aktívna premenná, 97
student13_4.c, E-RP-05, dlho aktívna premenná, 98
student13_4.c, E-RP-05, dlho aktívna premenná, 37
student13_4.c, E-RP-05, dlho aktívna premenná, 15
student13_5.c, E-RP-05, dlho aktívna premenná, 16
student13_5.c, E-RP-07, neoptimálne využívanie premenných, 0
student13_5.c, E-RP-05, dlho aktívna premenná, 41
student13_5.c, E-RP-05, dlho aktívna premenná, 105
student13_5.c, E-RP-05, dlho aktívna premenná, 106
student13_5.c, E-RP-05, dlho aktívna premenná, 15
student14_1.c, E-RP-05, dlho aktívna premenná, 192
student14_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_1.c, W-01, využívanie globálnej premennej, 6
student14_1.c, E-RP-05, dlho aktívna premenná, 171
student14_1.c, E-RP-05, dlho aktívna premenná, 47
student14_1.c, E-RP-05, dlho aktívna premenná, 143
student14_1.c, E-RP-05, dlho aktívna premenná, 207
student14_1.c, E-RP-05, dlho aktívna premenná, 16
student14_1.c, E-RP-05, dlho aktívna premenná, 48
student14_1.c, E-RP-05, dlho aktívna premenná, 17
student14_1.c, E-RP-05, dlho aktívna premenná, 49
student14_1.c, E-RP-05, dlho aktívna premenná, 18
student14_1.c, E-RP-05, dlho aktívna premenná, 157
student14_1.c, E-RP-05, dlho aktívna premenná, 94
student14_1.c, E-RP-05, dlho aktívna premenná, 222
student14_10.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_10.c, E-RP-05, dlho aktívna premenná, 229
student14_10.c, W-01, využívanie globálnej premennej, 6
student14_10.c, E-RP-05, dlho aktívna premenná, 199
student14_10.c, E-RP-05, dlho aktívna premenná, 46
student14_10.c, E-RP-05, dlho aktívna premenná, 47
student14_10.c, E-RP-05, dlho aktívna premenná, 175
student14_10.c, E-RP-05, dlho aktívna premenná, 16
student14_10.c, E-RP-05, dlho aktívna premenná, 144
student14_10.c, E-RP-05, dlho aktívna premenná, 17
student14_10.c, E-RP-05, dlho aktívna premenná, 214
student14_10.c, E-RP-05, dlho aktívna premenná, 92
student14_10.c, E-RP-05, dlho aktívna premenná, 159
student14_11.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_11.c, E-RP-05, dlho aktívna premenná, 229
student14_11.c, W-01, využívanie globálnej premennej, 6
student14_11.c, E-RP-05, dlho aktívna premenná, 199
student14_11.c, E-RP-05, dlho aktívna premenná, 46
student14_11.c, E-RP-05, dlho aktívna premenná, 47
student14_11.c, E-RP-05, dlho aktívna premenná, 175
student14_11.c, E-RP-05, dlho aktívna premenná, 16
student14_11.c, E-RP-05, dlho aktívna premenná, 144
student14_11.c, E-RP-05, dlho aktívna premenná, 17
student14_11.c, E-RP-05, dlho aktívna premenná, 214
student14_11.c, E-RP-05, dlho aktívna premenná, 92
student14_11.c, E-RP-05, dlho aktívna premenná, 159
student14_12.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_12.c, E-RP-05, dlho aktívna premenná, 227
student14_12.c, E-RP-05, dlho aktívna premenná, 197
student14_12.c, W-01, využívanie globálnej premennej, 6
student14_12.c, E-RP-05, dlho aktívna premenná, 46
student14_12.c, E-RP-05, dlho aktívna premenná, 174
student14_12.c, E-RP-05, dlho aktívna premenná, 47
student14_12.c, E-RP-05, dlho aktívna premenná, 16
student14_12.c, E-RP-05, dlho aktívna premenná, 144
student14_12.c, E-RP-05, dlho aktívna premenná, 17
student14_12.c, E-RP-05, dlho aktívna premenná, 212
student14_12.c, E-RP-05, dlho aktívna premenná, 92
student14_12.c, E-RP-05, dlho aktívna premenná, 158
student14_13.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_13.c, E-RP-05, dlho aktívna premenná, 227
student14_13.c, E-RP-05, dlho aktívna premenná, 197
student14_13.c, W-01, využívanie globálnej premennej, 6
student14_13.c, E-RP-05, dlho aktívna premenná, 46
student14_13.c, E-RP-05, dlho aktívna premenná, 174
student14_13.c, E-RP-05, dlho aktívna premenná, 47
student14_13.c, E-RP-05, dlho aktívna premenná, 16
student14_13.c, E-RP-05, dlho aktívna premenná, 144
student14_13.c, E-RP-05, dlho aktívna premenná, 17
student14_13.c, E-RP-05, dlho aktívna premenná, 212
student14_13.c, E-RP-05, dlho aktívna premenná, 92
student14_13.c, E-RP-05, dlho aktívna premenná, 158
student14_14.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_14.c, E-RP-05, dlho aktívna premenná, 228
student14_14.c, W-01, využívanie globálnej premennej, 6
student14_14.c, E-RP-05, dlho aktívna premenná, 198
student14_14.c, E-RP-05, dlho aktívna premenná, 46
student14_14.c, E-RP-05, dlho aktívna premenná, 174
student14_14.c, E-RP-05, dlho aktívna premenná, 47
student14_14.c, E-RP-05, dlho aktívna premenná, 16
student14_14.c, E-RP-05, dlho aktívna premenná, 144
student14_14.c, E-RP-05, dlho aktívna premenná, 17
student14_14.c, E-RP-05, dlho aktívna premenná, 213
student14_14.c, E-RP-05, dlho aktívna premenná, 92
